id,id_viaje,moneda,tipo_cambio
A013939,V123,Dolar Americano,954.44
A013645,V114,Euro,1059.13
A013724,V122,Yen Japones,64274
A013831,V119,Euro,1026.29
A014136,V122,Yen Japones,61354
A013994,V131,Dolar Americano,948.83
A007216,V080,Yen Japones,72963
A006455,V077,Dolar Americano,811.3
A001388,V011,Dolar Americano,674.34
A013848,V120,Dolar Americano,964.38
A011054,V100,Euro,915.17
A013959,V125,Dolar Americano,954.44
A008632,V084,Dolar Americano,810.9
A013795-1,V116,Yen Japones,62263
A014130,V122,Yen Japones,61354
A013694,V126,Yen Japones,64274
A009463,V086,Euro,895.19
A006261,V075,Dolar Americano,751.34
A013906-1,V122,Yen Japones,61716
A013659,V114,Euro,1059.13
A013775,V116,Yen Japones,61984
A013626,V114,Euro,1061.55
A013473,V114,Euro,1045.03
A004847,V052,Dolar Americano,667.03
A002014,V021,Euro,710.93
A011059,V100,Euro,907.32
A014263,V123,Dolar Americano,938.78
A009483,V086,Euro,896.6
