"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A015042,2024-10-23,NECESIDAD,consumible,consumible_6144,NECESIDAD8,-1707.165,202410,regular,,,
A015043,2024-10-23,NECESIDAD,consumible,consumible_6919,NECESIDAD3,-4080.8999999999996,202410,regular,,,
A015044,2024-10-23,NECESIDAD,consumible,consumible_7615,NECESIDAD7,-3872.2200000000003,202410,regular,,,
A015045,2024-10-23,NECESIDAD,consumible,consumible_5576,NECESIDAD6,-1468.875,202410,regular,,,
A015046,2024-10-24,P.FORMAL,educacion,educacion_5222,P.FORMAL3,-70435.5,202410,especifico,,,P064
A015047,2024-10-24,RECREACION,recreacion,recreacion_4,RECREACION8,-42306.0,202410,regular,,,
A015048,2024-10-25,LIBRE,consumible,consumible_3785,LIBRE4,-10369.5,202410,regular,,,
A015049,2024-10-26,RECREACION,consumible,consumible_10615,RECREACION5,-8113.5,202410,regular,,,
A015050,2024-10-26,RECREACION,consumible,consumible_9737,RECREACION3,-6985.5,202410,regular,,,
A015051,2024-10-26,RECREACION,transporte,transporte_1,RECREACION5,-7053.885,202410,regular,,,
A015052,2024-10-27,SUSCRIPCION,hogar,hogar_8921,SUSCRIPCION7,-9163.95,202410,regular,,,
A015053,2024-10-28,NECESIDAD,consumible,consumible_5494,NECESIDAD8,-1839.0,202410,regular,,,
A015054,2024-10-28,LIBRE,consumible,consumible_2969,LIBRE10,-1627.5,202410,regular,,,
A015058,2024-11-01,P.VIAJE,evento,"8.evento_12",P.VIAJE10,-312109.5,202411,especifico,V142,G080,P008
A015059,2024-11-01,P.VIAJE,evento,"7.evento_11",P.VIAJE3,-389518.5,202411,especifico,V142,G080,P007
A015060,2024-11-02,NECESIDAD,consumible,consumible_4946,NECESIDAD6,-9079.349999999999,202411,regular,,,
A015061,2024-11-02,NECESIDAD,consumible,consumible_6643,NECESIDAD9,-5898.39,202411,regular,,,
A015062,2024-11-02,NECESIDAD,consumible,consumible_5091,NECESIDAD1,-6492.0,202411,regular,,,
A015063,2024-11-02,NECESIDAD,consumible,consumible_5698,NECESIDAD4,-3566.25,202411,regular,,,
A015064,2024-11-02,NECESIDAD,consumible,consumible_8144,NECESIDAD8,-3072.75,202411,regular,,,
A015065,2024-11-02,NECESIDAD,consumible,consumible_6863,NECESIDAD9,-3883.5,202411,regular,,,
A015066,2024-11-02,NECESIDAD,consumible,consumible_3614,NECESIDAD8,-3664.95,202411,regular,,,
A015067,2024-11-02,LIBRE,consumible,consumible_2235,LIBRE4,-4024.5,202411,regular,,,
A015068,2024-11-02,NECESIDAD,consumible,consumible_8354,NECESIDAD8,-6456.75,202411,regular,,,
A015069,2024-11-02,NECESIDAD,consumible,consumible_4399,NECESIDAD3,-1980.0,202411,regular,,,
A015070,2024-11-02,LIBRE,consumible,consumible_2912,LIBRE7,-1310.25,202411,regular,,,
A015071,2024-11-02,NECESIDAD,consumible,consumible_6142,NECESIDAD10,-1835.475,202411,regular,,,
A015072,2024-11-02,NECESIDAD,consumible,consumible_6798,NECESIDAD4,-1554.18,202411,regular,,,
A015073,2024-11-02,NECESIDAD,consumible,consumible_6483,NECESIDAD9,-1066.32,202411,regular,,,
A015074,2024-11-02,NECESIDAD,consumible,consumible_7339,NECESIDAD3,-4286.76,202411,regular,,,
A015075,2024-11-02,NECESIDAD,consumible,consumible_5575,NECESIDAD7,-1923.6,202411,regular,,,
A015076,2024-11-03,NECESIDAD,consumible,consumible_5770,NECESIDAD2,-2050.5,202411,regular,,,
A015077,2024-11-03,NECESIDAD,consumible,consumible_5493,NECESIDAD9,-1690.9499999999998,202411,regular,,,
A015078,2024-11-04,LIBRE,consumible,consumible_2430,LIBRE9,-4095.0,202411,regular,,,
A015079,2024-11-10,LIBRE,consumible,consumible_4949,LIBRE10,-14286.48,202411,regular,,,
A015080,2024-11-10,NECESIDAD,consumible,consumible_6995,NECESIDAD7,-19406.895,202411,regular,,,
A015081,2024-11-10,NECESIDAD,necesidad,necesidad_10,NECESIDAD8,-28061.475000000002,202411,regular,,,
A015082,2024-11-10,NECESIDAD,consumible,consumible_5305,NECESIDAD7,-10463.265000000001,202411,regular,,,
A015083,2024-11-10,LIBRE,consumible,consumible_3313,LIBRE6,-9171.0,202411,regular,,,
A015084,2024-11-10,RECREACION,transporte,transporte_2,RECREACION7,-6915.0,202411,regular,,,
A015085,2024-11-11,NECESIDAD,necesidad,necesidad_11,NECESIDAD8,-30935.055,202411,regular,,,
A015086,2024-11-12,P.FORMAL,educacion,educacion_5183,P.FORMAL2,-20580.015,202411,especifico,,,P064
A015087,2024-11-12,P.FORMAL,educacion,educacion_5188,P.FORMAL7,-34904.205,202411,especifico,,,P064
