"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A001588,2016-11-15,DINERO,transaccion,"1.transaccion_17",DINERO9,credito_3,22287.510000000002,20,201611,201612,2016-12-01,deposito
A001590,2016-11-15,DINERO,transaccion,transaccion_561,DINERO9,credito_3,-181.54500000000002,20,201611,201612,2016-12-01,gasto
A001591,2016-11-15,DINERO,transaccion,transaccion_562,DINERO10,credito_3,169.54500000000002,20,201611,201612,2016-12-01,deposito
A001607,2016-11-20,RECREACION,evento,evento_7780,RECREACION10,credito_2,-34128.0,20,201611,201612,2016-12-01,gasto
A001609,2016-11-23,DINERO,transaccion,transaccion_11,DINERO4,credito_2,34116.0,20,201611,201612,2016-12-01,deposito
A001672,2016-12-16,DINERO,transaccion,"2.transaccion_18",DINERO5,credito_3,22287.510000000002,21,201612,201701,2017-01-01,deposito
A001674,2016-12-16,LIBRE,transaccion,transaccion_4,LIBRE3,credito_3,-6139.5,21,201612,201701,2017-01-01,gasto
A001675,2016-12-16,DINERO,transaccion,transaccion_5,DINERO6,credito_3,6127.5,21,201612,201701,2017-01-01,deposito
A001737,2017-01-13,LIBRE,transaccion,transaccion_2,LIBRE5,credito_3,-6139.5,22,201701,201702,2017-02-01,gasto
A001749,2017-01-13,DINERO,transaccion,"3.transaccion_19",DINERO8,credito_3,22287.510000000002,22,201701,201702,2017-02-01,deposito
A001751,2017-01-13,DINERO,transaccion,transaccion_6,DINERO8,credito_3,6127.5,22,201701,201702,2017-02-01,deposito
A001777,2017-01-21,DINERO,transaccion,transaccion_1086,DINERO5,credito_3,-131347.5,22,201701,201702,2017-02-01,gasto
A001795,2017-01-30,LIBRE,transaccion,transaccion_15,LIBRE5,credito_3,-2332.5,22,201701,201702,2017-02-01,gasto
A001796,2017-01-30,DINERO,transaccion,transaccion_1087,DINERO6,credito_3,131335.5,22,201701,201702,2017-02-01,deposito
A001798,2017-01-31,RECREACION,deuda,deuda: nombre_4,RECREACION4,credito_2,-4412.25,22,201701,201702,2017-02-01,gasto
A001799,2017-01-31,RECREACION,deuda,deuda: nombre_3,RECREACION5,credito_2,-4412.25,22,201701,201702,2017-02-01,gasto
A001800,2017-01-31,RECREACION,deuda,deuda: nombre_1,RECREACION6,credito_2,-4236.0,22,201701,201702,2017-02-01,gasto
A001801,2017-01-31,RECREACION,evento,evento_7787,RECREACION3,credito_2,-4236.0,22,201701,201702,2017-02-01,gasto
A001827,2017-02-08,DINERO,transaccion,transaccion_2,DINERO10,credito_2,17266.5,22,201701,201702,2017-02-01,deposito
A001849,2017-02-15,DINERO,transaccion,"4.transaccion_20",DINERO9,credito_3,22287.510000000002,23,201702,201703,2017-03-01,deposito
A001851,2017-02-15,DINERO,transaccion,transaccion_9,DINERO2,credito_3,2320.5,23,201702,201703,2017-03-01,deposito
A001858,2017-02-17,RECREACION,evento,evento_7964,RECREACION6,credito_3,-3954.0,23,201702,201703,2017-03-01,gasto
A001859,2017-02-17,RECREACION,deuda,deuda: nombre_16,RECREACION7,credito_3,-3954.0,23,201702,201703,2017-03-01,gasto
A001863,2017-02-19,RECREACION,consumible,consumible_10465,RECREACION5,credito_3,-21570.54,23,201702,201703,2017-03-01,gasto
A001866,2017-02-24,RECREACION,evento,evento_7878,RECREACION2,credito_3,-4024.5,23,201702,201703,2017-03-01,gasto
A001867,2017-02-24,RECREACION,invitacion,invitacion: nombre_13,RECREACION6,credito_3,-4024.5,23,201702,201703,2017-03-01,gasto
A001887,2017-02-28,DINERO,transaccion,transaccion_18,DINERO4,credito_3,37491.54,23,201702,201703,2017-03-01,deposito
A001889,2017-02-28,RECREACION,evento,evento_7961,RECREACION9,credito_3,-4024.5,23,201702,201703,2017-03-01,gasto
A001890,2017-02-28,RECREACION,invitacion,invitacion: nombre_10,RECREACION7,credito_3,-4024.5,23,201702,201703,2017-03-01,gasto
A001911,2017-03-09,LIBRE,gustos,gustos_813,LIBRE6,credito_2,-21155.295000000002,23,201702,201703,2017-03-01,gasto
A001913,2017-03-09,NECESIDAD,necesidad,"3.necesidad_19",NECESIDAD7,credito_2,-98635.5,23,201702,201703,2017-03-01,gasto
A001914,2017-03-09,NECESIDAD,necesidad,necesidad_7,NECESIDAD4,credito_2,-35185.5,23,201702,201703,2017-03-01,gasto
A001918,2017-03-11,P.VIAJE,consumible,consumible_11848,P.VIAJE2,credito_3,-6985.5,24,201703,201704,2017-04-01,gasto
A001919,2017-03-11,P.VIAJE,consumible,consumible_9507,P.VIAJE3,credito_3,-11145.0,24,201703,201704,2017-04-01,gasto
A001920,2017-03-11,P.VIAJE,recreacion,recreacion_8,P.VIAJE5,credito_3,-3037.5,24,201703,201704,2017-04-01,gasto
A001934,2017-03-12,P.VIAJE,recreacion,recreacion_17,P.VIAJE2,credito_3,-4588.5,24,201703,201704,2017-04-01,gasto
A001935,2017-03-12,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE10,credito_3,-4588.5,24,201703,201704,2017-04-01,gasto
A001936,2017-03-13,P.VIAJE,necesidad,necesidad_18,P.VIAJE8,credito_2,-55348.5,24,201703,201704,2017-04-01,gasto
A001937,2017-03-13,P.VIAJE,necesidad,necesidad_19,P.VIAJE2,credito_2,-3531.0,24,201703,201704,2017-04-01,gasto
A001940,2017-03-13,P.VIAJE,transporte,transporte_1,P.VIAJE3,credito_3,-128034.0,24,201703,201704,2017-04-01,gasto
A001941,2017-03-13,P.VIAJE,necesidad,necesidad_2,P.VIAJE3,credito_2,-69801.0,24,201703,201704,2017-04-01,gasto
A001941-1,2017-03-13,P.VIAJE,deuda,deuda: nombre_10,P.VIAJE8,credito_2,-69801.0,24,201703,201704,2017-04-01,gasto
A001941-2,2017-03-13,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE9,credito_2,-69801.0,24,201703,201704,2017-04-01,gasto
A001955,2017-03-14,P.VIAJE,consumible,consumible_7917,P.VIAJE3,credito_2,-4588.5,24,201703,201704,2017-04-01,gasto
A001956,2017-03-14,P.VIAJE,consumible,consumible_7527,P.VIAJE3,credito_2,-1416.0,24,201703,201704,2017-04-01,gasto
A001957,2017-03-14,P.VIAJE,recreacion,recreacion_7,P.VIAJE9,credito_2,-1063.5,24,201703,201704,2017-04-01,gasto
A001962,2017-03-14,P.VIAJE,necesidad,necesidad_10,P.VIAJE1,credito_2,-14035.5,24,201703,201704,2017-04-01,gasto
A001967,2017-03-15,P.VIAJE,consumible,consumible_11782,P.VIAJE8,credito_2,-2121.0,24,201703,201704,2017-04-01,gasto
A001968,2017-03-15,P.VIAJE,consumible,consumible_7018,P.VIAJE2,credito_2,-1063.5,24,201703,201704,2017-04-01,gasto
A001969,2017-03-15,P.VIAJE,recreacion,recreacion_13,P.VIAJE9,credito_2,-18688.5,24,201703,201704,2017-04-01,gasto
A001981,2017-03-16,P.VIAJE,consumible,consumible_7632,P.VIAJE8,credito_2,-9523.5,24,201703,201704,2017-04-01,gasto
A001983,2017-03-16,LIBRE,transaccion,transaccion_17,LIBRE6,credito_2,-47356.62,24,201703,201704,2017-04-01,gasto
A002017,2017-03-20,P.VIAJE,transporte,transporte_8,P.VIAJE2,credito_2,-9654.630000000001,24,201703,201704,2017-04-01,gasto
A002018,2017-03-20,P.VIAJE,transporte,transporte_9,P.VIAJE1,credito_2,-3866.58,24,201703,201704,2017-04-01,gasto
A002019,2017-03-20,P.VIAJE,recreacion,recreacion_10,P.VIAJE4,credito_2,-4236.0,24,201703,201704,2017-04-01,gasto
A002020,2017-03-20,P.VIAJE,consumible,consumible_11317,P.VIAJE3,credito_2,-5505.0,24,201703,201704,2017-04-01,gasto
A002021,2017-03-20,P.VIAJE,recreacion,recreacion_11,P.VIAJE1,credito_2,-28205.295000000002,24,201703,201704,2017-04-01,gasto
A002022,2017-03-20,INGRESO,actividad,actividad_12,INGRESO5,credito_2,-35255.295,24,201703,201704,2017-04-01,gasto
A002023,2017-03-20,P.VIAJE,gustos,gustos_5535,P.VIAJE5,credito_2,-6774.0,24,201703,201704,2017-04-01,gasto
A002024,2017-03-20,P.VIAJE,gustos,gustos_5534,P.VIAJE6,credito_2,-6421.5,24,201703,201704,2017-04-01,gasto
A002026,2017-03-20,P.VIAJE,consumible,consumible_11257,P.VIAJE3,credito_2,-6069.0,24,201703,201704,2017-04-01,gasto
A002030,2017-03-24,DINERO,transaccion,transaccion_14,DINERO6,credito_2,628940.715,24,201703,201704,2017-04-01,deposito
A002036,2017-03-25,RECREACION,recreacion,recreacion: nombre_4,RECREACION2,credito_2,-21579.0,24,201703,201704,2017-04-01,gasto
A002037,2017-03-25,HOGAR,recreacion,recreacion_16,HOGAR9,credito_2,-1416.0,24,201703,201704,2017-04-01,gasto
