"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A014140,2024-05-03,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE8,2914.815,V123,G075,202405
A013110,2023-12-23,P.VIAJE,consumible,consumible_8140,P.VIAJE10,-21156.0,V113,G072,202312
A005826,2019-10-03,P.VIAJE,evento,evento_5646,P.VIAJE4,-4941.0,V066,G046,201910
A009506,2022-05-19,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE6,-13753.5,V086,G059,202205
A013887,2024-04-17,P.VIAJE,transporte,transporte_3,P.VIAJE8,-8270.715,V122,G075,202404
A015923,2025-07-06,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE3,-3531.0,V147,G082,202507
A013711,2024-04-02,P.VIAJE,deuda,deuda: nombre_16,P.VIAJE3,12267.345,V124,G075,202404
A004898,2019-03-24,P.VIAJE,consumible,consumible_7146,P.VIAJE4,-1303.1999999999998,V052,G036,201903
A013573,2024-03-12,P.VIAJE,evento,evento_5784,P.VIAJE6,-19247.2125,V125,G075,202403
A002973,2017-11-10,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE8,-2826.0,V030,G022,201711
A001956,2017-03-14,P.VIAJE,consumible,consumible_7527,P.VIAJE3,-1416.0,V020,G016,201703
A005788,2019-09-30,P.VIAJE,consumible,consumible_8295,P.VIAJE5,-1028.25,V065,G046,201909
A001436,2016-09-24,P.VIAJE,necesidad,necesidad_5,P.VIAJE2,-14074.275000000001,V013,G011,201609
A013724,2024-04-02,P.VIAJE,deuda,deuda: nombre_10,P.VIAJE6,7729.612499999999,V122,G075,202404
A014192,2024-05-03,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE1,2186.55,V116,G075,202405
A002981,2017-11-11,P.VIAJE,deuda,deuda_6151,P.VIAJE9,-4236.0,V030,G022,201711
A002971,2017-11-09,P.VIAJE,recreacion,recreacion: nombre_13,P.VIAJE2,-11920.5,V031,G022,201711
A014289,2024-05-03,P.VIAJE,deuda,deuda: nombre_10,P.VIAJE8,9720.885,V133,G075,202405
A003039,2017-11-20,P.VIAJE,regalo,regalo_6,P.VIAJE6,-10756.545,V034,G022,201711
A014304,2024-05-09,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE10,-21156.0,V129,G075,202405
A013487,2024-03-03,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE4,-46534.590000000004,V115,G075,202403
A010302,2022-09-02,P.VIAJE,consumible,consumible_10366,P.VIAJE4,-5223.0,V094,G063,202209
A002872,2017-10-20,P.VIAJE,recreacion,recreacion_16,P.VIAJE10,-711.0,V027,G021,201710
A002006,2017-03-19,P.VIAJE,consumible,consumible_9655,P.VIAJE5,-9505.875,V021,G016,201703
A015898,2025-07-05,P.VIAJE,consumible,consumible_6842,P.VIAJE8,-2685.0,V144,G082,202507
A008631,2021-10-05,P.VIAJE,evento,"4.evento_8",P.VIAJE9,-8832.6,V084,G057,202110
A009672,2022-06-26,P.VIAJE,recreacion,recreacion_5,P.VIAJE3,-5476.799999999999,V087,G060,202206
